label	replace by
CTR PESQUISA RENE RACHOU	Fiocruz
Ctr Pesquisa Rene Rachou, Belo Horizonte MG, Brazil	Fiocruz
CTR PESQUISA RENE RACHOU, BELO HORIZONTE, BRAZIL	Fiocruz
CTR PESQUISAS AGGEU MAGALHAES CPQAM FIOCRUZ	Fiocruz
Ctr Pesquisas Aggeu Magalhaes CPqAM Fiocruz, Recife PE, Brazil	Fiocruz
Ctr Pesquisas Aggeu Magalhaes CPqAM, Recife PE, Brazil	Fiocruz
CTR PESQUISAS AGGEU MAGALHAES FDN OSWALDO CRUZ	Fiocruz
Ctr Pesquisas Aggeu Magalhaes Fdn Oswaldo Cruz, Recife PE, Brazil	Fiocruz
CTR PESQUISAS AGGEU MAGALHAES FIOCRUZ	Fiocruz
Ctr Pesquisas Aggeu Magalhaes Fiocruz, Recife PE, Brazil	Fiocruz
Ctr Pesquisas Aggeu Magalhaes, Recife PE, Brazil	Fiocruz
Ctr Pesquisas Goncalo Moniz FIOCRUZ BA, Salvador BA, Brazil	Fiocruz
CTR PESQUISAS GONCALO MONIZ FIOCRUZ	Fiocruz
Ctr Pesquisas Goncalo Moniz Fiocruz, Salvador BA, Brazil	Fiocruz
Ctr Pesquisas Goncalo Moniz, Salvador BA, Brazil	Fiocruz
CTR PESQUISAS GONCALO MONIZ, SALVADOR, BRAZIL	Fiocruz
CTR PESQUISAS GONCALO MUNIZ FIOCRUZ	Fiocruz
Ctr Pesquisas Leonidas & Maria Deane Fiocruz, Amazonas, Brazil	Fiocruz
Ctr Pesquisas Leonidas Maria Deane, Amazonas, Brazil	Fiocruz
Ctr Pesquisas Med Trop Rondonia, Porto Velho, Brazil	Fiocruz
Ctr Pesquisas Med Trop Rondonia, Rondonia, Brazil	Fiocruz
Ctr Pesquisas Med Trop, Rondonia, Brazil	Fiocruz
CTR PESQUISAS RENE RACHOU CPQRR	Fiocruz
Ctr Pesquisas Rene Rachou CPqRR, Belo Horizonte MG, Brazil	Fiocruz
CTR PESQUISAS RENE RACHOU FIOCRUZ	Fiocruz
Ctr Pesquisas Rene Rachou Fiocruz, Barro Preto MG, Brazil	Fiocruz
CTR PESQUISAS RENE RACHOU FIOCRUZ, BELO HORIZON MG, BRAZIL	Fiocruz
CTR PESQUISAS RENE RACHOU FIOCRUZ, BELO HORIZONT MG, BRAZIL	Fiocruz
CTR PESQUISAS RENE RACHOU FIOCRUZ, BELO HORIZONT, BRAZIL	Fiocruz
Ctr Pesquisas Rene Rachou FIOCRUZ, Belo Horizonte MG, Brazil	Fiocruz
CTR PESQUISAS RENE RACHOU FIOCRUZ, BELO HORIZONTE, BRAZIL	Fiocruz
